symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
tfx,1.00,5.92%,5.66%,398.65,221.27,362.47,348.74,274.91k,181.17k,46.43M,46.28M,0.30%,94.92%,746.08k,2.61,2.09%,1.61%,789k,1.36,0.38%,1.36,0.38%,0.63,11.62%,"Jun 14, 2020","May 13, 2020",2:1,"Jun 16, 1997","Dec 30, 2019","Mar 28, 2020",21.12%,19.44%,4.90%,19.54%,2.61B,56.44,2.80%,1.49B,724.4M,551.21M,11.70,220.70%,433.24M,9.33,2.49B,81.06,3.60,66.20,364.1M,227.55M
dov,1.37,-4.22%,5.66%,120.26,62.95,97.83,99.46,916.97k,639.38k,143.95M,143.03M,0.95%,88.94%,1.9M,2.14,1.51%,1.32%,1.76M,1.96,2.07%,1.95,2.06%,2.20,38.24%,"Jun 14, 2020","May 27, 2020",1238:1000,"May 08, 2018","Dec 30, 2019","Mar 30, 2020",10.59%,15.16%,7.61%,25.73%,7.07B,48.74,-4.00%,2.63B,1.34B,748.49M,5.10,66.80%,508.91M,3.54,3.46B,116.18,1.29,20.71,996.64M,829.85M
lly,0.26,50.60%,5.66%,170.75,101.36,156.62,146.13,3.69M,2.66M,956.45M,793.64M,0.15%,79.61%,6M,1.46,0.76%,0.63%,8.7M,2.96,1.78%,2.67,1.61%,2.34,44.66%,"Jun 09, 2020","May 13, 2020",2:1,"Oct 15, 1997","Dec 30, 2019","Mar 30, 2020",23.97%,28.09%,10.25%,192.05%,23.09B,25.28,15.10%,17.6B,7.63B,5.53B,6.04,-65.70%,1.8B,1.98,17.63B,551.52,1.11,3.40,4.91B,2.83B
low,1.42,27.29%,5.66%,138.25,60.00,131.80,113.23,5.53M,3.27M,755M,753.32M,0.17%,78.30%,7.33M,1.05,0.97%,0.97%,10.65M,2.2,1.62%,2.20,1.62%,1.72,37.04%,"Aug 04, 2020","Jul 20, 2020",2:1,"Jul 02, 2006","Jan 30, 2020","Apr 30, 2020",6.17%,9.66%,10.04%,184.65%,74.08B,96.62,10.90%,23.1B,8.58B,4.56B,5.94,27.80%,6.16B,8.15,26.26B,1530.13,1.20,2.27,6.61B,4.22B
odfl,1.06,78.46%,5.66%,178.91,98.58,166.92,143.60,847.27k,706k,117.95M,100.66M,12.90%,79.55%,2.99M,3.57,3.08%,2.54%,3.13M,0.6,0.34%,0.49,0.28%,N/A,9.64%,"Jun 16, 2020","Jun 01, 2020",3:2,"Mar 24, 2020","Dec 30, 2019","Mar 30, 2020",14.99%,20.06%,13.47%,21.27%,4.11B,34.27,-0.30%,1.39B,1.08B,615.37M,5.12,-0.10%,356.97M,3.03,45M,1.49,1.94,25.53,981.73M,417.48M
ntap,1.27,-29.40%,5.66%,65.38,34.66,44.02,47.53,2.4M,2.31M,221.18M,220.88M,0.31%,98.98%,13.28M,5.46,9.24%,5.99%,10.99M,1.92,4.54%,1.92,4.54%,2.31,54.55%,"Jul 28, 2020","Jul 08, 2020",2:1,"Mar 22, 2000","Apr 23, 2020","Apr 23, 2020",15.13%,17.20%,7.16%,122.97%,5.41B,23.53,-12.00%,3.62B,1.08B,819M,3.52,-50.50%,2.89B,13.02,1.81B,748.76,1.18,1.11,1.06B,913.5M
wab,1.51,-19.08%,5.66%,81.75,35.07,61.42,62.82,1.44M,1.16M,190.29M,179.63M,5.76%,103.45%,4.56M,3.67,2.84%,2.40%,5.19M,0.48,0.85%,0.48,0.85%,0.54,19.51%,"May 21, 2020","May 06, 2020",2:1,"Jun 11, 2013","Dec 30, 2019","Mar 30, 2020",5.19%,11.54%,3.25%,4.51%,8.54B,45.43,21.10%,2.5B,1.33B,441.4M,2.27,N/A,615.9M,3.24,5.02B,51.22,1.42,51.30,902.3M,831.97M
uaa,1.19,-65.39%,5.66%,27.72,7.15,9.76,12.85,8.57M,6M,188.45M,329.45M,0.33%,92.33%,24.97M,2.2,15.42%,5.50%,27.84M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Apr 07, 2016","Dec 30, 2019","Mar 30, 2020",-10.42%,1.72%,1.16%,-28.89%,4.99B,11.05,-22.80%,2.47B,274.52M,-520.02M,-1.15,N/A,959.32M,2.11,2.24B,144.29,1.70,3.41,232.11M,118.4M
swks,1.25,59.95%,5.66%,138.22,67.90,127.38,110.28,2.07M,1.55M,166.84M,166.08M,0.35%,84.87%,3.07M,1.43,2.08%,1.84%,3.26M,1.76,1.33%,1.70,1.28%,1.40,36.80%,"Jun 10, 2020","May 19, 2020",2:1,"Apr 19, 2000","Sep 26, 2019","Mar 26, 2020",24.35%,26.86%,11.22%,19.28%,3.26B,19.05,-5.50%,1.6B,1.24B,792.9M,4.61,-15.40%,1.07B,6.44,172.6M,4.17,6.13,24.72,1.31B,730.12M
bf-b,0.78,16.07%,5.66%,72.85,44.68,65.27,64.16,1.02M,720.02k,309.2M,357.55M,2.39%,51.74%,8.44M,7.95,2.79%,1.76%,9.39M,0.7,1.10%,0.68,1.08%,1.26,39.57%,"Jun 30, 2020","Jun 04, 2020",5:4,"Feb 28, 2018","Apr 29, 2020","Apr 29, 2020",24.59%,33.10%,12.76%,45.67%,3.36B,7.04,-4.70%,2.13B,1.19B,827M,1.72,-19.50%,675M,1.41,2.66B,134.43,3.71,4.13,724M,410.38M
dis,1.11,-17.73%,5.66%,153.41,79.07,117.16,118.97,17.32M,12.41M,1.81B,1.8B,0.20%,66.29%,28.63M,1.61,1.59%,1.59%,25.24M,N/A,N/A,0.88,0.75%,1.46,76.86%,"Jan 15, 2020","Dec 12, 2019",10000:9865,"Jun 12, 2007","Sep 27, 2019","Mar 27, 2020",6.88%,11.91%,2.77%,5.01%,78.21B,43.35,20.70%,27.55B,14.54B,4.83B,2.97,-91.60%,14.34B,7.94,59.56B,57.28,0.94,50.59,5.42B,7.43B
fdx,1.33,-5.54%,5.66%,178.50,88.69,140.29,135.00,2.77M,2.62M,261.25M,240.53M,7.72%,75.09%,6.25M,2.28,2.59%,2.39%,5.85M,2.6,1.67%,2.60,1.67%,1.05,53.06%,"Jul 12, 2020","Jun 25, 2020",2:1,"May 06, 1999","May 30, 2020","May 30, 2020",1.86%,3.94%,2.67%,7.13%,69.22B,264.19,-2.50%,16.84B,6.34B,1.29B,4.90,N/A,4.88B,18.7,36.12B,197.44,1.58,70.10,5.1B,-1.35B
cmcsa,0.98,-9.41%,5.66%,47.74,31.71,39.91,40.25,20.91M,17.87M,4.55B,4.52B,0.69%,85.05%,78.6M,4.04,1.74%,1.72%,81.48M,0.92,2.34%,0.86,2.19%,1.77,34.13%,"Jul 21, 2020","Jun 29, 2020",2:1,"Feb 20, 2017","Dec 30, 2019","Mar 30, 2020",10.72%,19.13%,5.01%,14.78%,108.69B,23.86,-0.90%,74.5B,33.69B,11.65B,2.52,-39.60%,8.52B,1.87,108.74B,129.39,0.87,17.86,24.29B,13.76B
eqix,0.39,38.61%,5.66%,735.99,477.87,696.03,640.39,543.01k,347.13k,88.51M,85.46M,0.50%,96.65%,1.11M,2.03,1.44%,1.25%,968.79k,10.64,1.46%,10.04,1.38%,1.88,169.31%,"Jun 16, 2020","May 18, 2020",1:32,"Dec 30, 2002","Dec 30, 2019","Mar 30, 2020",9.13%,18.99%,2.87%,5.95%,5.56B,65.41,6.00%,2.67B,2.37B,508.16M,5.93,0.60%,1.17B,13.63,13.08B,150.87,1.25,100.89,2.09B,1.93B
cfg,1.82,-31.07%,5.66%,41.29,14.12,25.48,27.80,6.35M,4.55M,426.62M,424.36M,0.45%,100.00%,8.15M,1.3,2.19%,1.91%,9.25M,1.56,6.86%,1.43,6.29%,2.52,48.97%,"May 12, 2020","Apr 27, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",24.52%,30.61%,0.82%,6.37%,5.65B,12.80,-29.70%,6.1B,N/A,1.31B,2.95,-92.30%,6.31B,14.78,17.73B,N/A,N/A,47.78,-102M,N/A
jkhy,0.61,29.20%,5.66%,195.03,123.64,179.91,165.23,562.43k,385.37k,76.62M,75.99M,0.81%,93.66%,1.76M,2.93,3.43%,2.30%,2.2M,1.72,0.94%,1.63,0.89%,1.14,42.34%,"Jun 11, 2020","May 26, 2020",2:1,"Mar 04, 2001","Jun 29, 2019","Mar 30, 2020",17.64%,22.99%,11.41%,20.16%,1.68B,21.85,12.90%,629.66M,472.83M,296.32M,3.85,24.60%,109.51M,1.43,123.02M,8.13,1.61,19.76,474.21M,223.85M
mdlz,0.62,-5.96%,5.66%,59.96,41.19,51.61,52.75,6.72M,4.83M,1.43B,1.43B,N/A,N/A,9.73M,1.37,0.69%,0.68%,11.96M,1.14,2.27%,1.12,2.22%,1.83,43.90%,"Jul 13, 2020","Jun 28, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",14.25%,15.71%,4.00%,14.42%,26.04B,18.07,2.60%,10.34B,5.14B,3.71B,2.54,-17.60%,2B,1.4,20.24B,78.58,0.53,17.99,3.78B,2.65B
myl,1.54,-15.13%,5.66%,23.11,12.75,16.62,17.65,6.32M,5.2M,516.95M,513.59M,1.37%,87.96%,32.33M,4.58,8.04%,6.25%,27.66M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jun 26, 2007",3:2,"Oct 08, 2003","Dec 30, 2019","Mar 30, 2020",0.54%,14.26%,3.34%,0.54%,11.62B,22.52,5.00%,4.55B,3.44B,62.6M,0.12,N/A,641.9M,1.24,12.87B,114.24,1.26,21.79,2.13B,2.42B
ge,0.96,-34.86%,5.66%,13.26,5.48,7.08,8.69,113.51M,69.08M,8.75B,8.73B,0.13%,63.61%,110.8M,0.89,1.28%,1.27%,149.79M,0.04,0.61%,0.04,0.61%,3.10,6.56%,"Jul 26, 2020","Jun 25, 2020",104:100,"Feb 25, 2019","Dec 30, 2019","Mar 30, 2020",-2.53%,6.01%,1.22%,12.59%,93.54B,10.71,-7.60%,18.81B,11.09B,5.34B,-0.32,72.80%,31.01B,3.55,88.22B,239.35,1.88,4.03,8.44B,18.07B
ben,1.31,-40.04%,5.66%,35.77,14.91,21.12,21.04,4.33M,2.89M,495.31M,269.31M,45.85%,52.24%,31.21M,7.32,11.64%,6.30%,32.31M,1.08,5.33%,1.06,5.23%,2.61,54.36%,"Jul 26, 2020","Jul 13, 2020",3:1,"Jul 25, 2013","Sep 29, 2019","Mar 30, 2020",17.29%,27.35%,6.72%,8.71%,5.68B,11.44,-6.70%,2.38B,1.61B,971.3M,1.96,-78.50%,5.84B,11.79,1.01B,9.18,4.91,20.00,-101.6M,1.21B
mtd,1.08,-0.73%,5.66%,863.53,579.40,802.23,750.20,146.36k,95.25k,23.91M,23.47M,1.83%,99.77%,666.95k,4.04,3.22%,2.79%,678.85k,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,1:2,"Jun 24, 1996","Dec 30, 2019","Mar 30, 2020",18.38%,24.40%,16.45%,126.11%,2.98B,122.26,-4.50%,1.74B,781.6M,547.42M,22.13,-12.20%,323.58M,13.53,1.57B,513.66,1.77,12.82,570.17M,405.76M
ntrs,1.09,-10.65%,5.66%,110.48,60.67,81.77,85.70,1.4M,1.21M,208.05M,204.97M,0.63%,86.08%,5.74M,4.38,3.00%,2.76%,5.43M,2.8,3.66%,2.70,3.53%,2.08,40.30%,"Jun 30, 2020","Jun 10, 2020",2:1,"Dec 09, 1999","Dec 30, 2019","Mar 30, 2020",24.55%,31.84%,1.06%,14.01%,6.13B,28.91,3.10%,6.09B,N/A,1.43B,6.70,3.90%,17.44B,83.85,15.56B,N/A,N/A,48.04,-387M,N/A
bmy,0.71,29.96%,5.66%,68.34,42.48,58.81,60.50,15.69M,10.83M,2.26B,2.26B,0.11%,79.09%,30.59M,1.88,1.35%,1.35%,34.43M,1.8,3.10%,1.72,2.96%,2.74,273.02%,"Aug 02, 2020","Jul 01, 2020",1000000:951777,"Aug 06, 2001","Dec 30, 2019","Mar 30, 2020",3.08%,24.63%,5.82%,3.00%,31.01B,16.66,82.10%,18.93B,11.58B,954M,0.51,N/A,18.32B,8.1,47.53B,95.10,1.66,22.06,10.57B,9.5B
shw,1.22,23.20%,5.66%,603.36,325.43,578.83,544.50,531.18k,423.07k,90.8M,81.45M,9.70%,81.61%,729.85k,1.23,0.89%,0.80%,1.17M,5.36,0.92%,4.73,0.82%,0.94,26.83%,"Jun 04, 2020","May 20, 2020",2:1,"Mar 30, 1997","Dec 30, 2019","Mar 30, 2020",8.98%,13.93%,7.55%,47.94%,18.01B,196.61,2.60%,8.04B,3.08B,1.62B,17.34,31.20%,238.5M,2.62,11.51B,350.10,0.94,36.11,2.41B,1.65B
cnp,0.97,-33.53%,5.66%,30.71,11.58,18.42,20.23,9.39M,7.44M,502.66M,501.21M,0.21%,88.76%,14.89M,1.41,3.37%,2.96%,20.25M,0.6,3.17%,1.15,6.08%,4.36,N/A,"Jun 10, 2020","May 19, 2020",1000:843,"Sep 30, 2002","Dec 30, 2019","Mar 30, 2020",-4.71%,13.07%,2.97%,-5.33%,12.24B,24.37,-2.80%,3.32B,2.91B,-522M,-1.39,N/A,946M,1.88,15.28B,219.25,1.03,10.40,2.03B,-1.47B
spgi,1.05,46.05%,5.66%,356.79,186.06,328.44,290.09,1.36M,984.97k,240.9M,240.42M,0.12%,86.82%,2.9M,2.27,1.21%,1.20%,3.06M,2.68,0.76%,2.38,0.67%,1.06,24.87%,"Sep 09, 2020","Aug 24, 2020",2:1,"May 17, 2005","Dec 30, 2019","Mar 30, 2020",34.02%,50.30%,21.54%,123.58%,6.91B,28.31,13.70%,4.9B,3.68B,2.35B,9.57,55.90%,1.93B,8.02,4.66B,224.49,1.24,-1.04,3.16B,2.57B
wfc,1.15,-45.47%,5.66%,54.75,22.00,27.33,34.92,49.9M,42.31M,4.1B,4.09B,0.13%,77.48%,45.16M,0.82,1.10%,1.10%,50.52M,2.04,8.49%,1.98,8.24%,3.38,69.23%,"May 31, 2020","May 06, 2020",2:1,"Aug 13, 2006","Dec 30, 2019","Mar 30, 2020",19.02%,25.02%,0.75%,7.63%,75.41B,17.61,-34.00%,82.46B,N/A,12.47B,2.89,-88.90%,356.29B,86.9,350.47B,N/A,N/A,39.67,16.05B,N/A
ccl,1.97,-65.58%,5.66%,51.94,7.80,17.65,25.46,55.92M,37.88M,599.69M,565.57M,15.44%,76.12%,122.36M,1.9,35.19%,15.64%,117.88M,N/A,N/A,2.00,13.72%,3.65,74.07%,"Mar 12, 2020","Feb 19, 2020",2:1,"Jun 14, 1998","Nov 29, 2019","Feb 28, 2020",8.94%,14.96%,4.31%,7.72%,20.94B,30.45,2.50%,7.92B,5.35B,1.87B,2.72,N/A,1.35B,1.98,14.43B,59.42,0.27,35.46,5.27B,-459.12M
klac,1.35,63.72%,5.66%,206.51,110.19,190.08,168.20,1.38M,1.13M,155.05M,154.68M,0.28%,96.45%,3.5M,2.59,2.56%,2.26%,3.82M,3.4,1.67%,3.20,1.57%,2.50,50.00%,"Jun 01, 2020","May 14, 2020",2:1,"Jan 18, 2000","Jun 29, 2019","Mar 30, 2020",18.26%,29.50%,11.46%,39.23%,5.61B,35.44,29.80%,2.7B,2.05B,1.02B,6.42,-59.30%,1.63B,10.54,3.54B,152.24,2.61,14.88,1.65B,1.31B
lh,1.38,-1.10%,5.66%,196.36,98.02,171.00,164.87,995.18k,781.12k,97.2M,96.63M,0.64%,95.73%,1.84M,2.37,2.14%,1.89%,1.7M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Mar 28, 1994",2:1,"May 12, 2002","Dec 30, 2019","Mar 30, 2020",2.77%,12.03%,5.08%,4.55%,11.59B,118.78,1.20%,3.25B,1.88B,321M,3.27,N/A,336M,3.46,7.12B,101.12,1.18,72.30,1.48B,990.65M
pki,1.36,6.80%,5.66%,105.70,62.91,99.62,90.83,915.78k,769.13k,111.39M,104.51M,0.81%,99.00%,2.92M,3,5.35%,2.62%,2.46M,0.28,0.27%,0.28,0.27%,0.41,13.86%,"Aug 06, 2020","Jul 15, 2020",2:1,"Jun 03, 2001","Dec 28, 2019","Apr 04, 2020",7.82%,13.38%,3.87%,8.37%,2.89B,26.02,0.60%,1.42B,610.73M,226.02M,2.02,-4.90%,195.15M,1.75,2.2B,79.72,1.84,24.79,428.84M,378.95M
ni,0.21,-19.88%,5.66%,30.67,19.56,23.61,25.79,3.22M,2.97M,382.8M,381.12M,0.38%,94.63%,6.46M,2,2.27%,1.69%,6.11M,0.84,3.66%,0.82,3.57%,3.07,168.75%,"Aug 19, 2020","Jul 29, 2020",2545:1000,"Jul 01, 2015","Dec 30, 2019","Mar 30, 2020",4.85%,27.26%,3.79%,4.16%,4.94B,13.11,-14.10%,2.34B,2.02B,184.7M,0.48,-65.50%,203.8M,0.53,10.13B,176.37,0.77,12.70,1.55B,-1.54B
axp,1.11,-27.49%,5.66%,138.13,67.00,99.50,104.18,6.38M,4.86M,804.97M,651.29M,0.10%,87.09%,10.99M,1.62,1.68%,1.36%,11.34M,1.72,1.90%,1.68,1.85%,1.52,25.45%,"Aug 09, 2020","Jun 30, 2020",10000:8753,"Oct 02, 2005","Dec 30, 2019","Mar 30, 2020",14.63%,18.55%,2.91%,25.80%,38.12B,46.51,-19.50%,27.32B,N/A,5.45B,6.63,-76.30%,37.41B,46.47,56.24B,267.72,1.80,26.09,2.87B,N/A
cbre,1.73,-16.11%,5.66%,64.75,29.17,46.61,49.27,2.27M,1.55M,335.17M,324.4M,0.84%,96.33%,8.75M,3.26,3.13%,2.61%,7.16M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:1,"Jun 01, 2006","Dec 30, 2019","Mar 30, 2020",5.23%,5.88%,5.96%,22.76%,24.65B,73.46,14.70%,5.21B,1.92B,1.29B,3.80,4.70%,628.45M,1.92,4.35B,70.49,1.20,18.72,1.48B,1.57B
psx,1.61,-39.55%,5.66%,119.92,40.04,74.93,76.50,3.79M,3.91M,436.68M,435.57M,0.35%,71.91%,5.85M,1.75,1.34%,1.34%,7.54M,3.6,6.10%,3.60,6.10%,3.17,537.31%,"May 31, 2020","Aug 16, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",0.36%,3.46%,4.08%,2.70%,105.07B,234.89,-9.60%,11.76B,4.98B,370M,0.83,N/A,1.22B,2.8,12.96B,54.84,1.11,48.94,5.5B,335.75M
hon,1.06,-18.60%,5.66%,184.06,101.08,147.28,152.39,3.57M,2.8M,701.85M,670.85M,0.16%,78.18%,5.56M,1.48,0.79%,0.79%,7.44M,3.6,2.55%,3.44,2.43%,2.01,39.54%,"Jun 04, 2020","May 13, 2020",1032:1000,"Oct 28, 2018","Dec 30, 2019","Mar 30, 2020",17.38%,20.96%,8.20%,34.75%,36.29B,50.68,-4.70%,12.37B,8.68B,6.31B,8.70,11.70%,8.79B,12.53,16.86B,94.32,1.30,25.14,6.7B,5.49B
glw,1.10,-20.08%,5.66%,34.25,17.44,25.86,24.60,5.84M,4.56M,760.95M,758.08M,0.32%,75.62%,23.77M,3.63,3.13%,3.12%,21.31M,0.88,3.32%,0.82,3.09%,2.43,241.18%,"Jun 29, 2020","May 27, 2020",3:1,"Oct 03, 2000","Dec 30, 2019","Mar 30, 2020",3.29%,8.26%,2.07%,2.81%,11.08B,14.39,-15.00%,4.04B,2.46B,267M,0.35,N/A,2.02B,2.66,8.46B,68.87,2.18,13.04,2.31B,102.25M
abt,0.96,11.01%,5.66%,100.00,61.61,90.96,87.24,7.53M,4.08M,1.77B,1.76B,0.73%,77.18%,12.82M,1.78,0.74%,0.72%,18.12M,1.44,1.54%,1.36,1.45%,1.94,66.67%,"Aug 16, 2020","Jul 13, 2020",10000:4798,"Jan 01, 2013","Dec 30, 2019","Mar 30, 2020",11.15%,15.38%,4.59%,11.56%,32.1B,18.14,2.50%,18.71B,8.03B,3.54B,1.99,-16.10%,3.67B,2.07,18.27B,60.05,1.43,17.08,6.14B,4.59B
avb,0.83,-27.71%,5.66%,229.40,118.17,159.66,179.29,1.27M,983.67k,140.73M,139.93M,0.27%,96.54%,2.2M,1.57,2.12%,1.56%,2.88M,6.36,4.19%,6.15,4.06%,3.08,110.02%,"Jul 14, 2020","Jun 28, 2020",8:9,"Jan 06, 2013","Dec 30, 2019","Mar 30, 2020",33.13%,35.41%,2.72%,7.24%,2.37B,16.95,6.70%,1.56B,1.51B,781.59M,5.59,-1.40%,778M,5.54,8.28B,75.82,1.68,77.69,1.3B,1.07B
ms,1.49,12.09%,5.66%,57.57,27.20,47.41,44.91,13.19M,10.28M,1.58B,1.12B,24.24%,62.93%,61.73M,4.46,5.16%,3.92%,59.01M,1.4,2.95%,1.40,2.95%,2.23,28.07%,"May 14, 2020","Apr 28, 2020",2:1,"Jan 26, 2000","Dec 30, 2019","Mar 30, 2020",20.46%,32.71%,0.94%,10.11%,40.62B,25.53,-7.80%,36.73B,N/A,7.77B,4.81,-30.10%,580.46B,368.39,306.23B,351.07,1.85,49.09,47.57B,N/A
hlt,1.25,-24.15%,5.66%,115.48,44.30,78.48,85.92,4.01M,2.67M,277.26M,272.58M,1.62%,101.72%,9.33M,2.32,3.43%,3.36%,11.1M,N/A,N/A,0.60,0.81%,N/A,23.44%,"Mar 30, 2020","Feb 26, 2020",1000:2052,"Jan 03, 2017","Dec 30, 2019","Mar 30, 2020",20.78%,40.19%,5.85%,N/A,3.57B,12.60,-23.40%,2.51B,1.79B,741M,2.58,-88.60%,1.73B,6.25,10.7B,N/A,1.42,-3.30,1.15B,438.38M
ed,0.20,-18.15%,5.66%,95.10,62.03,73.66,81.95,1.98M,1.6M,334.1M,333.49M,0.16%,63.77%,5.33M,2.65,1.59%,1.59%,4.5M,3.06,4.27%,2.98,4.16%,3.56,76.74%,"Jun 14, 2020","May 11, 2020",2:1,"Jul 02, 1989","Dec 30, 2019","Mar 30, 2020",10.52%,20.90%,2.81%,7.71%,12.29B,37.11,-8.00%,6.77B,4.31B,1.29B,3.90,-11.60%,1.4B,4.18,23.73B,128.48,0.80,54.67,3.08B,-1.19B
amzn,1.32,58.34%,5.66%,3215.00,1626.03,2680.72,2212.68,4.85M,5.94M,498.78M,423.02M,15.12%,57.69%,3.6M,0.9,0.85%,0.72%,3.44M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Sep 01, 1999","Dec 30, 2019","Mar 30, 2020",3.56%,4.72%,4.37%,18.58%,296.27B,597.63,26.40%,114.99B,36.27B,10.56B,20.94,-28.80%,49.29B,98.83,78.15B,119.73,1.08,130.81,39.73B,26.72B
slg,1.61,-41.16%,5.66%,96.39,35.16,49.93,63.90,2.06M,1.52M,76.54M,76.16M,0.46%,108.05%,5.58M,2.1,10.26%,7.29%,6.28M,3.54,7.70%,2.88,6.26%,3.36,71.11%,"Jul 14, 2020","Jun 28, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",30.20%,33.91%,1.86%,5.85%,1.17B,14.52,-15.10%,752.55M,663.38M,324.32M,4.03,141.20%,554.2M,7.24,6.72B,112.56,4.87,65.87,356.19M,478.31M
tjx,0.72,-9.56%,5.66%,64.95,32.72,53.10,53.93,9.76M,6.31M,1.2B,1.2B,0.06%,93.09%,17.81M,1.54,1.49%,1.49%,13.36M,N/A,N/A,0.69,1.38%,1.39,67.65%,"Mar 04, 2020","Feb 11, 2020",2:1,"Nov 06, 2018","Jan 31, 2020","May 01, 2020",4.57%,5.86%,5.64%,34.13%,36.85B,30.60,-52.50%,14.85B,3.03B,1.68B,1.38,N/A,4.29B,3.58,16.51B,348.30,2.20,3.96,756.82M,-996.17M
hig,0.97,-35.19%,5.66%,62.75,19.04,39.90,45.11,3.13M,1.87M,358.08M,356.37M,0.43%,93.81%,3.95M,1.11,1.25%,1.10%,4.4M,1.3,3.63%,1.23,3.42%,2.01,26.12%,"Jul 01, 2020","May 28, 2020",2:1,"Jul 15, 1998","Dec 30, 2019","Mar 30, 2020",8.33%,12.46%,2.45%,11.67%,20.75B,57.56,0.30%,7.64B,3.06B,1.71B,4.70,-56.70%,2.72B,7.59,4.44B,29.06,1.99,41.72,3.51B,5.01B
kss,1.76,-57.19%,5.66%,59.28,10.89,22.05,28.59,11.24M,9.24M,157.74M,156.01M,1.14%,100.66%,20.01M,1.41,14.44%,12.69%,21.7M,N/A,N/A,2.71,13.17%,5.03,577.45%,"Mar 31, 2020","Mar 16, 2020",2:1,"Apr 24, 2000","Jan 31, 2020","May 01, 2020",0.48%,2.08%,1.57%,1.72%,18.31B,117.97,-40.60%,7.83B,1.29B,88M,0.56,N/A,2.04B,12.93,7.69B,160.50,1.88,30.32,1.57B,741.37M
msft,0.93,53.83%,5.66%,216.38,130.78,195.10,174.53,36.19M,31.28M,7.58B,7.47B,1.42%,74.09%,42.93M,1.24,0.57%,0.57%,44.24M,2.04,0.95%,1.99,0.93%,1.89,32.33%,"Sep 09, 2020","Aug 18, 2020",2:1,"Feb 17, 2003","Jun 29, 2019","Mar 30, 2020",33.36%,37.46%,11.84%,44.20%,138.7B,18.18,14.60%,82.93B,64.09B,46.27B,6.00,22.10%,137.64B,18.15,84.02B,73.38,2.90,15.09,58.11B,36.2B
vrsk,0.71,14.40%,5.66%,176.48,116.61,168.05,157.93,932.08k,799.08k,162.26M,160.45M,1.07%,92.90%,1.41M,1.29,0.99%,0.87%,1.48M,1.08,0.62%,1.02,0.59%,N/A,34.81%,"Jun 29, 2020","Jun 11, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",18.23%,32.25%,8.12%,22.92%,2.67B,16.35,10.40%,1.63B,1.09B,487.2M,2.93,27.80%,207.4M,1.28,3.33B,160.24,0.51,12.80,952.8M,844.25M
adi,1.35,6.39%,5.66%,127.39,79.08,120.07,110.54,2.33M,1.71M,368.22M,367.03M,0.33%,91.45%,4.92M,1.83,1.34%,1.34%,4.5M,2.48,2.00%,2.32,1.87%,2.22,74.92%,"Jun 08, 2020","May 27, 2020",2:1,"Mar 15, 2000","Nov 01, 2019","May 01, 2020",20.05%,26.71%,4.29%,9.53%,5.54B,15.03,-13.70%,4.01B,2.3B,1.11B,2.99,-27.20%,784.94M,2.13,6.15B,53.08,1.30,31.46,1.99B,1.55B
mchp,1.61,15.13%,5.66%,113.28,53.15,102.75,93.09,3.09M,2.96M,251.99M,239.89M,2.20%,109.96%,19.75M,4.84,10.48%,7.84%,29.29M,1.47,1.37%,1.47,1.36%,2.04,65.70%,"Jun 03, 2020","May 19, 2020",3:2,"May 08, 2002","Mar 30, 2020","Mar 30, 2020",10.82%,13.12%,2.42%,10.50%,5.27B,22.08,-0.30%,3.24B,1.91B,570.6M,2.23,-42.80%,403M,1.64,9.62B,172.26,1.35,22.77,1.54B,1.52B
cog,0.21,-25.14%,5.66%,23.94,13.06,18.93,17.61,6.2M,4.49M,398.58M,390.54M,2.05%,100.06%,12.55M,2.03,3.64%,3.15%,10.25M,0.4,2.35%,0.38,2.23%,0.91,33.33%,"May 27, 2020","May 12, 2020",2:1,"Aug 14, 2013","Dec 30, 2019","Mar 30, 2020",27.42%,35.67%,8.53%,21.04%,1.72B,4.21,-41.50%,1.33B,1.03B,472.22M,1.14,-79.50%,202.84M,0.51,1.26B,57.91,1.40,5.44,1.07B,59.91M
